day,company_id,employee_headcount
2011-01-23,1,0
2011-01-24,1,25
2011-01-25,1,27
2011-01-26,1,29
2011-01-27,1,29
2011-01-28,1,29
2011-01-29,1,29
2011-01-30,1,29
2011-01-31,1,59
2011-02-01,1,66
2011-02-02,1,67
2011-02-03,1,67
2011-02-04,1,67
2011-02-05,1,67
2011-02-06,1,67
2011-02-07,1,99
2011-02-08,1,102
2011-02-09,1,104
2011-02-10,1,104
2011-02-11,1,104
2011-02-12,1,104
2011-02-13,1,104
2011-02-14,1,129
2011-02-15,1,130
2011-02-16,1,132
2011-02-17,1,132
2011-02-18,1,132
2011-02-19,1,132
2011-02-20,1,132
2011-02-21,1,132
2011-02-22,1,156
2011-02-23,1,159
2011-02-24,1,159
2011-02-25,1,159
2011-02-26,1,159
2011-02-27,1,159
2011-02-28,1,178
2011-03-01,1,178
2011-03-02,1,181
2011-03-03,1,182
2011-03-04,1,182
2011-03-05,1,182
2011-03-06,1,182
2011-03-07,1,210
2011-03-08,1,210
2011-03-09,1,211
2011-03-10,1,212
2011-03-11,1,212
2011-03-12,1,212
2011-03-13,1,212
2011-03-14,1,231
2011-03-15,1,234
2011-03-16,1,236
2011-03-17,1,237
2011-03-18,1,237
2011-03-19,1,237
2011-03-20,1,237
2011-03-21,1,268
2011-03-22,1,270
2011-03-23,1,272
2011-03-24,1,272
2011-03-25,1,272
2011-03-26,1,272
2011-03-27,1,272
2011-03-28,1,301
2011-03-29,1,305
2011-03-30,1,305
2011-03-31,1,305
2011-04-01,1,305
2011-04-02,1,305
2011-04-03,1,305
2011-04-04,1,333
2011-04-05,1,337
2011-04-06,1,340
2011-04-07,1,340
2011-04-08,1,340
2011-04-09,1,340
2011-04-10,1,340
2011-04-11,1,372
2011-04-12,1,373
2011-04-13,1,373
2011-04-14,1,375
2011-04-15,1,375
2011-04-16,1,375
2011-04-17,1,375
2011-04-18,1,402
2011-04-19,1,405
2011-04-20,1,405
2011-04-21,1,406
2011-04-22,1,406
2011-04-23,1,406
2011-04-24,1,406
2011-04-25,1,435
2011-04-26,1,438
2011-04-27,1,442
2011-04-28,1,444
2011-04-29,1,444
2011-04-30,1,444
2011-05-01,1,444
2011-05-02,1,469
2011-05-03,1,472
2011-05-04,1,472
2011-05-05,1,475
2011-05-06,1,475
2011-05-07,1,475
2011-05-08,1,475
2011-05-09,1,508
2011-05-10,1,509
2011-05-11,1,514
2011-05-12,1,515
2011-05-13,1,515
2011-05-14,1,515
2011-05-15,1,515
2011-05-16,1,546
2011-05-17,1,547
2011-05-18,1,551
2011-05-19,1,552
2011-05-20,1,552
2011-05-21,1,552
2011-05-22,1,552
2011-05-23,1,584
2011-05-24,1,585
2011-05-25,1,585
2011-05-26,1,586
2011-05-27,1,586
2011-05-28,1,586
2011-05-29,1,586
2011-05-30,1,586
2011-05-31,1,617
2011-06-01,1,620
2011-06-02,1,620
2011-06-03,1,620
2011-06-04,1,620
2011-06-05,1,620
2011-06-06,1,648
2011-06-07,1,653
2011-06-08,1,657
2011-06-09,1,658
2011-06-10,1,658
2011-06-11,1,658
2011-06-12,1,658
2011-06-13,1,687
2011-06-14,1,689
2011-06-15,1,690
2011-06-16,1,690
2011-06-17,1,690
2011-06-18,1,690
2011-06-19,1,690
2011-06-20,1,719
2011-06-21,1,723
2011-06-22,1,724
2011-06-23,1,726
2011-06-24,1,726
2011-06-25,1,726
2011-06-26,1,726
2011-06-27,1,748
2011-06-28,1,753
2011-06-29,1,754
2011-06-30,1,756
2011-07-01,1,756
2011-07-02,1,756
2011-07-03,1,756
2011-07-04,1,756
2011-07-05,1,780
2011-07-06,1,781
2011-07-07,1,782
2011-07-08,1,782
2011-07-09,1,782
2011-07-10,1,782
2011-07-11,1,807
2011-07-12,1,809
2011-07-13,1,811
2011-07-14,1,812
2011-07-15,1,812
2011-07-16,1,812
2011-07-17,1,812
2011-07-18,1,843
2011-07-19,1,847
